,science,name,birth_place,death_place,birth_date,death_date,works,link
0,Метеорологи,Эмилий Юльевич Берг,Дерпт,Ленинград,1862-03-24,1925-03-06,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B3,_%D0%AD%D0%BC%D0%B8%D0%BB%D0%B8%D0%B9_%D0%AE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
1,Метеорологи,Галина Васильевна Беспалова,Край Тальменский район Куликово Алтайский,,1937-11-21,,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D0%BF%D0%B0%D0%BB%D0%BE%D0%B2%D0%B0,_%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
2,Метеорологи,Ивлин Бриггс Болдуин,Миссури США Спрингфилд,США Вашингтон,1862-06-22,1933-10-26,5,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B4%D1%83%D0%B8%D0%BD,_%D0%98%D0%B2%D0%BB%D0%B8%D0%BD_%D0%91%D1%80%D0%B8%D0%B3%D0%B3%D1%81"
3,Метеорологи,Берт Болин,Нючёпинг Швеция,Дандерюд,1925-03-15,2007-12-30,0,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D0%B8%D0%BD,_%D0%91%D0%B5%D1%80%D1%82"
4,Метеорологи,Андрей Леонидович Ветров,Пермь,,1978-03-15,,20,"https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%82%D1%80%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
5,Метеорологи,Гуго Гильдебранд-Гильдебрандсон,Швеция Стокгольм,Швеция Стокгольм,1838-08-19,1925-07-29,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%BB%D1%8C%D0%B4%D0%B5%D0%B1%D1%80%D0%B0%D0%BD%D0%B4%D1%81%D0%BE%D0%BD,_%D0%93%D1%83%D0%B3%D0%BE_%D0%93%D0%B8%D0%BB%D1%8C%D0%B4%D0%B5%D0%B1%D1%80%D0%B0%D0%BD%D0%B4"
6,Метеорологи,Александр Александрович Гирс,,,1913-08-18,1983-04-30,0,"https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D1%80%D1%81,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87_(%D1%83%D1%87%D1%91%D0%BD%D1%8B%D0%B9)"
7,Метеорологи,Джеймс Глéйшер,Великобритания Лондон,Великобритания Лондон,1809-04-07,1903-02-07,2,"https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B5%D0%B9%D1%88%D0%B5%D1%80,_%D0%94%D0%B6%D0%B5%D0%B9%D0%BC%D1%81"
8,Метеорологи,Нильс Гофмейер,Копенгаген Дания,Копенгаген Дания,1836-06-03,1884-02-16,3,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%84%D0%BC%D0%B5%D0%B9%D0%B5%D1%80,_%D0%9D%D0%B8%D0%BB%D1%8C%D1%81"
9,Метеорологи,Александр Михайлович Гусев,Москва империя Российская,Москва Россия,1912-03-18,1994,0,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D1%81%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
