,science,name,birth_place,death_place,birth_date,death_date,age,works,link
0,Психологи,Норман Абель,Австрийская Вена Республика Первая,,1928-04-15,,91.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B5%D0%BB%D1%8C,_%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D0%BD"
1,Психологи,Ирина Анатольевна Агапова,Россия,,1975,,45.0,19,"https://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%B0%D0%BF%D0%BE%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0"
2,Психологи,Эрих Адикес,Бремен,Тюбинген,1866-09-29,1928,62.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B8%D0%BA%D0%B5%D1%81,_%D0%AD%D1%80%D0%B8%D1%85"
3,Психологи,Альфред Адлер,Вена Австро-Венгрия,Абердин,1870-02-07,1937-05-28,67.0,9,"https://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%BB%D0%B5%D1%80,_%D0%90%D0%BB%D1%8C%D1%84%D1%80%D0%B5%D0%B4"
4,Психологи,Ганс Юрген Айзенк,Берлин,Лондон,1916,1997,81.0,16,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D0%B7%D0%B5%D0%BD%D0%BA,_%D0%93%D0%B0%D0%BD%D1%81_%D0%AE%D1%80%D0%B3%D0%B5%D0%BD"
5,Психологи,Август Айхорн,Вена,Вена,1878-07-27,1949-10-13,71.0,1,"https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D1%85%D0%BE%D1%80%D0%BD,_%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82"
6,Психологи,Анатолий Андреевич Алексеев,РСФСР Ленинград СССР,,1947-09-21,,72.0,5,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87_(%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3)"
7,Психологи,Никита Глебович Алексеев,Москва,Москва Россия,1932,2003-03-21,71.0,28,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B0_%D0%93%D0%BB%D0%B5%D0%B1%D0%BE%D0%B2%D0%B8%D1%87"
8,Психологи,Виктор Михайлович Аллахвердов,Эстонская Таллин ССР СССР,,1946-12-25,,73.0,7,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%BB%D0%B0%D1%85%D0%B2%D0%B5%D1%80%D0%B4%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87"
9,Психологи,Юри Аллик,Эстонская Таллин ССР СССР,,1949,,71.0,0,"https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%BB%D0%B8%D0%BA,_%D0%AE%D1%80%D0%B8"
